market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source
ChiNext,0.59999999999999998,60%,LambdaMART,22,-0.58255843174843402,,
ChiNext,0.59999999999999998,60%,LambdaMART,27,-0.61688591101756662,,
ChiNext,0.59999999999999998,60%,LambdaMART,30,0.94295782844986387,,
ChiNext,0.59999999999999998,60%,LambdaMART,31,0.83571532788836822,,
ChiNext,0.59999999999999998,60%,LambdaMART,37,5.0869549024636962,,
ChiNext,0.59999999999999998,60%,LambdaMART,38,-0.071232127408438206,,
ChiNext,0.59999999999999998,60%,LambdaMART,40,-0.68328832841620546,,
ChiNext,0.59999999999999998,60%,LambdaMART,42,1.5737638689337006,,
ChiNext,0.59999999999999998,60%,LambdaMART,47,-0.062544051058822214,,
ChiNext,0.59999999999999998,60%,LambdaMART,48,-0.38996001609968534,,
ChiNext,0.59999999999999998,60%,LambdaMART,53,1.9239572116117016,,
ChiNext,0.59999999999999998,60%,LambdaMART,60,-0.44489423401282302,,
ChiNext,0.59999999999999998,60%,LambdaMART,61,-0.35471624340519448,,
ChiNext,0.59999999999999998,60%,LambdaMART,75,-0.39573297748370728,,
ChiNext,0.59999999999999998,60%,LambdaMART,90,-0.46224442500329666,,
ChiNext,0.59999999999999998,60%,LambdaMART,94,-0.3565068987444221,,
ChiNext,0.59999999999999998,60%,LambdaRank,2,1.6234064387690874,,
ChiNext,0.59999999999999998,60%,LambdaRank,4,0.91196075347227223,,
ChiNext,0.59999999999999998,60%,LambdaRank,14,0.38405523569112354,,
ChiNext,0.59999999999999998,60%,LambdaRank,15,-0.58796029314988574,,
ChiNext,0.59999999999999998,60%,LambdaRank,16,-0.00311017298337668,,
ChiNext,0.59999999999999998,60%,LambdaRank,27,-0.034577229179185376,,
ChiNext,0.59999999999999998,60%,LambdaRank,35,-0.34018590146096883,,
ChiNext,0.59999999999999998,60%,LambdaRank,37,1.1582608681477526,,
ChiNext,0.59999999999999998,60%,LambdaRank,39,0.11401570047898679,,
ChiNext,0.59999999999999998,60%,LambdaRank,42,2.6697221631047507,,
ChiNext,0.59999999999999998,60%,LambdaRank,43,-0.7309705798142756,,
ChiNext,0.59999999999999998,60%,LambdaRank,44,-0.39307917268098402,,
ChiNext,0.59999999999999998,60%,LambdaRank,56,-0.64381957578136939,,
ChiNext,0.59999999999999998,60%,LambdaRank,59,-0.2507041114116273,,
ChiNext,0.59999999999999998,60%,LambdaRank,73,-0.27951027240733317,,
ChiNext,0.59999999999999998,60%,LambdaRank,91,2.9760333286025835,,
ChiNext,0.59999999999999998,60%,LambdaRank,95,0.058907205335293922,,
ChiNext,0.59999999999999998,60%,LambdaRank,102,-0.76483876759188352,,
ChiNext,0.59999999999999998,60%,LambdaRank,103,0.75964171674184389,,
ChiNext,0.59999999999999998,60%,LambdaRank,107,-0.48764943991537546,,
ChiNext,0.69999999999999996,70%,LTR-DQN,3,-0.60783900567559068,1343595262,
ChiNext,0.69999999999999996,70%,LTR-DQN,8,-0.2125871940359696,450502690,
ChiNext,0.69999999999999996,70%,LTR-DQN,16,1.2152382494872809,840837013,
ChiNext,0.69999999999999996,70%,LTR-DQN,18,0.42741082111307294,1093588959,
ChiNext,0.69999999999999996,70%,LTR-DQN,23,1.3326400952129807,2008424875,
ChiNext,0.69999999999999996,70%,LTR-DQN,37,2.7837763302507628,1124365122,
ChiNext,0.69999999999999996,70%,LTR-DQN,39,5.2120196634128062,1270563896,
ChiNext,0.69999999999999996,70%,LTR-DQN,69,-0.03902169597494054,565326908,
ChiNext,0.69999999999999996,70%,LTR-DQN,70,0.77292335795967393,2021469740,
