market,parameter,value,ARR,tree_method,seed_signature,estimator_grid_signature,fixed_parameter_signature,fixed_parameters
ChiNext,learning_rate,0.001,-0.05898909404483588,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,"{""reg_lambda"": 10.0}"
ChiNext,learning_rate,0.002,-0.07140699051435906,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,"{""reg_lambda"": 10.0}"
ChiNext,learning_rate,0.01,-0.05958732506868736,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,"{""reg_lambda"": 10.0}"
ChiNext,learning_rate,0.1,0.15843885031402616,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,"{""reg_lambda"": 10.0}"
ChiNext,learning_rate,0.2,-0.08290173720172467,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,"{""reg_lambda"": 10.0}"
ChiNext,n_estimators,800.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,n_estimators,900.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,n_estimators,1000.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,n_estimators,1100.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,n_estimators,1200.0,0.34785399759438373,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,max_depth,4.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,max_depth,5.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,max_depth,6.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,max_depth,7.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
ChiNext,max_depth,8.0,0.3515691324376562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be,36503b561fa56a40f9ea760ee71bc1347586e3112c0b2cb590bf8146df593d96,57191f7e979effefec2d13e385a10ce54daa24ba2b14defcca5f235783fd3c10,{}
