market,model,feature,importance,tree_method,seed_signature
Main,LR,listed,0.01278920585936647,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,prior_performance_avg,0.6940940451172092,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,prior_performance_sd,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,broker_status,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,ind_1,0.125522912562725,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,ind_2,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,ind_3,0.0590377653920433,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,ind_4,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,ind_5,0.17016946464465163,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,LR,ind_6,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,page,0.18805612068443173,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,advance_reaction,0.10032301543301803,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,star_analyst,0.02005725128236163,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,title_len,0.04651194674888117,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,num_sentence,0.04389499025402136,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,avg_sentence_len,0.06653717778774018,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,sd_sentence_len,0.05571303542128163,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,num_authors,0.05545315192008748,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,analyst_coverage,0.16510537173401268,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,rm_rf,0.3312216909823606,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,smb,0.1924543415418507,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,hml,0.15998951633509026,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,rmw,0.26184949849416284,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,cma,1.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,broker_size,0.08465316273144755,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,listed,0.09826724930840021,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,prior_performance_avg,0.11213244644519994,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,prior_performance_sd,0.13941337633688922,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,broker_status,0.09801885796340504,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,ind_1,0.030062949674959795,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,ind_2,0.067394196900759,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,ind_3,0.07197177677284484,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,ind_4,0.09889750178139586,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,ind_5,0.19445020554659193,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
Main,XGB_R,ind_6,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,page,0.813077623665265,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,advance_reaction,0.8561696703122644,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,star_analyst,0.5324165271835892,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,title_len,0.7580924807071677,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,num_sentence,0.7764418031925506,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,avg_sentence_len,0.874541228862412,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,sd_sentence_len,0.8703187372352043,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,num_authors,0.6820235123539616,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,analyst_coverage,0.9096408570936854,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,rm_rf,0.9066938931541858,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,smb,0.9690111500157632,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,hml,0.9595224424337221,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,rmw,0.9376092575134292,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,cma,1.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,broker_size,0.9172210706512882,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,listed,0.7736420389557579,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,prior_performance_avg,0.9077392166508527,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,prior_performance_sd,0.8655420193088239,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,broker_status,0.9331581608642214,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,ind_1,0.8517320523735477,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,ind_2,0.7941148294752746,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,ind_3,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,ind_4,0.7147541620278073,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,ind_5,0.9286203283322495,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LTR-DQN,ind_6,0.9095208432646807,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,page,1.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,advance_reaction,0.23388641862827095,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,star_analyst,0.0074446506710907695,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,title_len,0.23776497509012157,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,num_sentence,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,avg_sentence_len,0.47432441271289094,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,sd_sentence_len,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,num_authors,0.08070127750716312,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,analyst_coverage,0.4280152431931704,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,rm_rf,0.23603785429979182,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,smb,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,hml,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,rmw,0.5020222223519331,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,cma,0.02628692690903562,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,broker_size,0.2709302325827426,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,listed,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,prior_performance_avg,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,prior_performance_sd,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,broker_status,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,ind_1,0.01537709780756005,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,ind_2,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
ChiNext,LR,ind_3,0.0,approx,60776a3656c4042c716e0f5a57e5c3d03f5dd55a4526cfc62df409a9b1b568be
