table,market,model,train_year,ARR,MDR,CR,SR,WR
T3,Main,Market indices,,0.0042196026664087505,0.39585079894209846,0.010659578502015241,-0.0019462658368160244,0.5086477987421384
T3,Main,Baseline portfolios,,0.5765279294091752,0.33675683757117947,1.7120006636459635,2.6924531054316367,0.5143663827584585
T3,ChiNext,Market indices,,0.06282357633546587,0.3964536577163138,0.1584638585436381,0.28652954204832426,0.5007861635220126
T3,ChiNext,Baseline portfolios,,0.8782112505250181,0.4594043999302225,1.9116300380632119,3.0467629584899574,0.5106754607784353
T4,Main,Market indices,3.0,-0.12847039989543585,0.3098244953632645,-0.4146553994861067,-0.723554784180023,0.47840531561461797
T4,Main,Baseline portfolios,3.0,0.010621716869360975,0.24424558747011876,0.04348785572496963,0.007854639454701088,0.48145685001173616
T4,Main,LR,3.0,0.7317124404862987,0.3631047382667973,2.0151553074712583,2.61749684721112,0.49915540540540543
T4,Main,MLP_R,3.0,1.3345745976552896,0.18598597609021478,7.175673272311338,4.720794421797897,0.5109797297297297
T4,Main,SVM_R,3.0,0.5967507030321,0.2288724614382025,2.607350396295833,2.018628815452819,0.49408783783783783
T4,Main,XGB_R,3.0,0.776631820865415,0.252538511004732,3.0753005463426635,2.625239195607131,0.49746621621621623
T4,Main,SVM_C,3.0,-0.00011183914474899304,0.3315051545583096,-0.00033736773987120996,-0.003046749997499063,0.440843176798233
T4,Main,MLP_C,3.0,-0.03527051000647474,0.33426791859597743,-0.10551568979344818,-0.1787316197362611,0.44345686451742494
T4,Main,XGB_C,3.0,0.027325909909559076,0.30345653916717824,0.09004884186893355,0.12099936669325256,0.44113181504485854
T4,Main,LambdaRank,3.0,1.12900651746923,0.27334586864126076,4.130322229054571,3.8501531992102684,0.5152027027027027
T4,Main,LambdaMART,3.0,1.8455889491279187,0.28947389484387687,6.375666275963529,6.044293026501561,0.5287162162162162
T4,Main,LTR-DQN,3.0,2.779974433613388,0.21902177403192058,12.692685217718262,7.475113597090452,0.5689102564102564
T4,ChiNext,Market indices,3.0,-0.25244128830897516,0.38503450624361424,-0.65563289579364,-0.9657867018771914,0.4584717607973422
T4,ChiNext,Baseline portfolios,3.0,-0.04231332455406145,0.3320470024630457,-0.1274317317734877,-0.16175195998530062,0.4641623106228404
T4,ChiNext,LR,3.0,0.2953302188505722,0.3808189639493887,0.7755134245095576,0.9633923396542501,0.4923469387755102
T4,ChiNext,MLP_R,3.0,0.05480806664468996,0.4488683588054481,0.12210276257954122,0.28701355290511255,0.47278911564625853
T4,ChiNext,SVM_R,3.0,-0.316593517000079,0.4840334920980497,-0.6540735758341848,-0.8044061135722236,0.45918367346938777
T4,ChiNext,XGB_R,3.0,0.011688169788814928,0.3104187598558137,0.03765291052075578,0.1449654996366148,0.4642857142857143
T4,ChiNext,SVM_C,3.0,-0.017577988192220673,0.39960990628330345,-0.04398786895878091,0.012400788949956268,0.43824565390296555
T4,ChiNext,MLP_C,3.0,-0.024460618999126438,0.43046144186661583,-0.05682418126245529,-0.010795373759346544,0.4529873458273266
T4,ChiNext,XGB_C,3.0,-0.003194986270707134,0.4040999487766754,-0.007906425824549743,0.06650347041184247,0.42240481425760906
T4,ChiNext,LambdaRank,3.0,0.17309794269366097,0.40674698250769387,0.42556663020944896,0.617577006222272,0.46343537414965985
T4,ChiNext,LambdaMART,3.0,0.3515691324376562,0.3123567780642402,1.1255370689133932,1.1542762152003365,0.4923469387755102
T4,ChiNext,LTR-DQN,3.0,0.5871417361587874,0.31013970489901543,1.8931524306117675,1.7229239293768686,0.5143312101910829
T5,Main,LR,2.0,0.9645504117076984,0.28987194215025947,3.3275052581933204,3.3986176664547547,0.5092905405405406
T5,Main,MLP_R,2.0,0.4740806283012611,0.3046416390789357,1.556191168530386,1.694453246487459,0.49493243243243246
T5,Main,SVM_R,2.0,0.607574218784747,0.21331078025995373,2.848305266355125,1.992086567318432,0.4966216216216216
