Models,Main board market,Main board market,Main board market,Main board market,Main board market,ChiNext market,ChiNext market,ChiNext market,ChiNext market,ChiNext market
Models,ARR,MDR,CR,SR,WR,ARR,MDR,CR,SR,WR
Market indices,-0.128,0.310,-0.415,-0.724,0.478,-0.252,0.385,-0.656,-0.966,0.458
Baseline portfolios,0.011,0.244,0.043,0.008,0.481,-0.042,0.332,-0.127,-0.162,0.464
LTR-DQN without ESG,2.780,0.219,12.693,7.475,0.569,0.587,0.310,1.893,1.723,0.514
NS 25%,1.293,0.232,5.569,3.890,0.524,0.122,0.261,0.468,0.475,0.472
NS 50%,1.160,0.216,5.363,3.480,0.523,0.293,0.315,0.930,0.952,0.490
PI 25%,1.716,0.288,5.953,4.876,0.526,0.131,0.322,0.407,0.500,0.466
PI 50%,0.913,0.306,2.986,2.817,0.537,0.480,0.322,1.492,1.393,0.476
