market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source,source_signature
Main,0.5,50%,LambdaMART,61,0.8385258839520364,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,61,1.974288984905892,1613278763.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,62,0.1804345517602468,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,62,0.5542370509679342,29446143.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,66,2.724119337413536,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,66,1.5738936161576578,1567733573.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,76,-0.34432128938876916,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,76,-0.3687426363248949,1334194821.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,78,1.3465081579867646,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,78,1.8195703919842843,1550374758.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,82,0.6834698399509864,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,82,1.4656661304757055,1013530255.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,93,1.6506236431318322,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,93,4.425412089138753,1230915076.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LambdaMART,97,4.796849772391612,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.5,50%,LTR-DQN,97,5.117191730157876,1881778125.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,14,0.22989355506442233,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,26,-0.2226606049212737,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,30,0.7928366648107772,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,32,0.5348298356080916,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,34,2.2547046538146653,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,53,2.54447058746614,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,62,0.21560306112337835,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,65,0.8342458343447359,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,73,0.2335378255625471,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,86,0.9633988259092201,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,93,1.3420897164488657,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,95,-0.24330420752729875,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,98,0.3354491359689473,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,99,0.6005452616239566,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,110,-0.19911763345422806,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,116,0.12721800412783857,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,127,3.4600833072237407,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,129,0.547201174539834,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,130,0.6510167634165522,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaRank,132,1.2777008670287007,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,1,-0.4779676899369957,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,1,-0.32462232498435806,321014601.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
