market,broker_group,broker_column,broker_grouping_mode,n_reports,ARR,MDR,CR,SR,WR,source_signature
Main,0,broker_size,proxy,1074,-0.017343484997882297,0.3360348366740901,-0.051612163695704,0.057132758414736196,0.4767225325884544,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,2,broker_size,proxy,181,0.3519860110611901,0.17528309178159215,2.008100196565308,1.089485037818439,0.4530386740331492,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,5,broker_size,proxy,219,1.0621180843445712,0.20223911977207587,5.251793448970613,2.814467785885194,0.5205479452054794,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,11,broker_size,proxy,405,-0.3154759625308784,0.32471674683043694,-0.9715420150338474,-0.7205513268900221,0.47160493827160493,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,12,broker_size,proxy,107,-0.19743774200322084,0.18676391167719608,-1.0571514605266648,-0.4370134404020264,0.514018691588785,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,13,broker_size,proxy,153,1.268708783333444,0.14794039013996477,8.575810717635209,3.4861539828095616,0.5424836601307189,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,14,broker_size,proxy,419,-0.31977242026737385,0.4419524359767697,-0.7235448755037115,-0.7786735273504357,0.4295942720763723,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,16,broker_size,proxy,314,-0.5121478507525085,0.4859435914012146,-1.0539244879755159,-1.1063133297856083,0.5127388535031847,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,17,broker_size,proxy,175,0.7846660595936763,0.10193334095920284,7.697835195137243,2.6112219904017278,0.52,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,21,broker_size,proxy,672,1.338821034310012,0.238633806805682,5.610357778854886,3.48878150561177,0.5133928571428571,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,22,broker_size,proxy,448,-0.3328460184925387,0.3636248140774219,-0.9153556237272358,-0.9015852262971004,0.43973214285714285,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,23,broker_size,proxy,862,-0.32687087935223047,0.47692516542278507,-0.685371423129802,-0.7705008766252834,0.4767981438515081,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,25,broker_size,proxy,112,-0.3820403379179126,0.20940948042568402,-1.8243698286310033,-1.1112785538126921,0.4732142857142857,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,27,broker_size,proxy,1493,0.7190439019798178,0.3016368441098567,2.3838066072523314,2.1904461956434584,0.5056932350971199,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,28,broker_size,proxy,356,0.8402781501441385,0.14843354221004887,5.660972160558277,2.6450219435723583,0.5393258426966292,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,29,broker_size,proxy,426,-0.24958611187570123,0.39673357130887976,-0.6291025764527101,-0.6521310384824928,0.4812206572769953,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,30,broker_size,proxy,121,1.07444580807744,0.22914407454402327,4.688953053730468,2.743827245790428,0.48760330578512395,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,32,broker_size,proxy,465,-0.14340280169426434,0.4280199045416335,-0.3350376937442533,-0.28888131119209637,0.45806451612903226,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,33,broker_size,proxy,607,0.5400233157726491,0.3773383327432995,1.4311382356693216,1.5231801121963398,0.48105436573311366,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
